UN Chief Says There Is No Military Solution in Syria	Șeful ONU declară că nu există soluții militare în Siria
A South Korean man destroyed his own car, a Mercedes S63, in protest of the services offered by his dealer.	Un barbat din Coreea de Sud și-a distrus masina, un Mercedes S63, în semn de protest fata de serviciile de care a avut parte din partea dealerului sau.
The man "attacked" the car with a golf club, causing enough damage that the car had to be scrapped, says BT.	Barbatul și-a "atacat" masina cu o crosa de golf, provocand daune suficiente pentru ca masina sa fie scoasa din uz, transmite BT.
The entire scene was filmed and the video was uploaded to the Internet, to the amusement of those who watched it.The entire room grew silent, as every man stopped and watched.	Intreaga scena a fost filmata, iar clipul a ajuns pe Internet, spre amuzamentul celor care l-au privit.
The man claimed that the car is defective and threatening to his and his family's life.	Barbatul a pretins ca masina are defectiuni care pun în pericol viata sa și a familiei sale.
He got angry when the dealer from which he bought the car did not resolve its issues, as previously agreed.	Supararea sa a aparut cand dealerul de la care a achizitionat masina nu i-a rezolvat problema, asa cum convenisera.
The government approved on Wednesday the "National Strategy on Migration for 2015-2018" and the "Action Plan for the current year", documents regarded as "another step taken by Romania within its efforts to modernise the immigration management process on national territory", according to a press release.	Guvernul a aprobat, miercuri, "Strategia nationala privind imigratia pentru perioada 2015-2018" și "Planul de actiune pe anul în curs", documente considerate a fi "inca o etapa pe care Romania o parcurge în cadrul eforturilor de modernizare a procesului de gestionare a imigratiei pe teritoriul national", potrivit unui comunicat de presa.
The source shows that the strategy aims at the efficient management of the immigration phenomenon, including strategic goals, specific objectives and courses of action which reflect the policies established at European level, adapted to national realities.	Sursa citata arata ca strategia are ca scop gestionarea eficienta a fenomenului imigratiei, incluzand obiective strategice generale, obiective specifice și directii de actiune care reflecta politicile stabilite la nivel european, adaptate la realitatile nationale.
Given the problems faced by Romania's neighbouring countries, measures for the unified and coherent management of the situation are taken into consideration due to the possible influx of illegal immigrants in Romania, generated by the crisis situations of political, social, economic or military nature.	Avand în vedere problemele cu care s-au confruntat statele din imediata vecinatate a Romaniei, se au în vedere masuri pentru gestionarea unitara și coerenta a situatiilor determinate de posibila aparitie a unui aflux de imigranti ilegali pe teritoriul Romaniei, generat de situatii de criza de natura politica, sociala, economica sau militara.
"Romanian authorities will contribute to the establishment of a flexible admission system, but at the same time, they will pay special attention to citizens from countries with migration potential or who may affect national security," adds the mentioned source.	"Autoritatile romane vor contribui la crearea unui sistem de admitere flexibil, dar, în acelasi timp, vor acorda o atentie deosebita cetatenilor proveniti din statele cu potential migrationist sau care pot aduce atingere sigurantei nationale", adauga sursa amintita.
The strategy identifies a number of factors that can influence immigration and asylum, including the continuation of the conflict situation in Syria, the reactivation of the Iraq conflict, maintaining an unstable situation in Romania's bordering areas (Ukraine, Transnistria), continuation and intensification of the Israeli - Palestinian armed conflict.	Strategia identifica o serie de factori care pot influenta imigratia și azilul, printre care mentinerea situatiei conflictuale din Siria, reactivarea conflictului din Irak, mentinerea unei situatii instabile în zonele limitrofe Romaniei (Ucraina, Transnistria), perpetuarea și cresterea în intensitate a conflictului armat israeliano - palestinian.
On the other hand, the document sets some general strategic objectives regarding immigration, such as: promotion of legal migration, tighter controls of legal residence of third-country citizens in Romania and the appropriate application of removal and restrictive measures, improvement of the national asylum system.	Pe de alta parte, documentul fixeaza și cateva obiective strategice generale legate de imigratie, cum ar fi: promovarea migratiei legale, controale mai riguroase a legalitatii sederii cetatenilor statelor terte pe teritoriul Romaniei și aplicarea corespunzatoare a masurilor de indepartare și a masurilor restrictive, imbunatatirea sistemului national de azil.
The National Strategy includes specific objectives relevant for transposing and implementing overall strategic objectives.	Strategia nationala cuprinde și obiective specifice relevante pentru transpunerea și implementarea obiectivelor strategice generale.
These include: facilitating access in Romania of third party citizens that meet the employment needs, favouring access of third countries citizens for higher education institutions in Romania for fields and professions identified as deficient.	Printre acestea se numara: facilitatea accesului pe teritoriul Romaniei a cetatenilor terti care raspund nevoilor de ocupare a fortei de munca, favorizarea accesului cetatenilor statelor terte catre institutiile de invatamant superior din Romania pentru domeniile și profesiile identificate ca deficitare.
Regarding the Action Plan for 2015, the Government considers that it is "a means by which concrete activities are established that lead to the creation of a flexible system to stop the growing migration phenomenon".	Referitor la Planul de actiune pe anul 2015, Guvernul apreciaza ca acesta reprezinta "un mijloc prin care se stabilesc activitati concrete care sa conduca la crearea unui sistem flexibil pentru stoparea fenomenului migrationist aflat în crestere".
Romania, in a European top on the labour market	Romania, intr-un top european referitor la piata muncii
Latvia, Romania and Bulgaria registered the largest increase in the total cost of labour among member states of the European Union in the second quarter compared to the same period in 2014, according to data released Wednesday by the European Office for Statistics (Eurostat) .	Letonia, Romania și Bulgaria au inregistrat cea mare crestere a costului total al fortei de munca din randul statelor membre ale Uniunii Europene, în trimestrul doi al anului, comparativ cu perioada similara din 2014, conform datelor publicate miercuri de Oficiul european pentru Statistica (Eurostat).
The index refers to employers' personnel expenses.	Indicele se refera la cheltuielile cu personalul ale angajatorilor.
Thus, during April and June 2015, the total cost of labour increased by 1.9% in the EU and 1.6% in the Euro area.	Astfel, în perioada aprilie - iunie 2015, costul total al fortei de munca a urcat cu 1,9% în Uniunea Europeana și cu 1,6% în zona euro.
Romania ranks third in the EU labour cost growth	Romania, pe locul trei în UE la cresterea costului cu forta de munca
The largest increases were reported in Latvia (7.9%), Romania (7.7%), Bulgaria (6.8%), Estonia (5.5%) and Lithuania (4.3%).	Cele mai mari cresteri au fost raportate în Letonia (7,9%), Romania (7,7%), Bulgaria (6,8%), Estonia (5,5%) și Lituania (4,3%).
The only EU countries where hourly labour costs decreased in the second quarter of this year were Greece (minus 2.9%), Cyprus (minus 1.2%) and Italy (minus 0.4%).	Singurele state UE în care costul orar al fortei de munca a scazut în trimestrul doi din acest an au fost Grecia (minus 2,9%), Cipru (minus 1,2%) și Italia (minus 0,4%).
The increase of labour costs in Romania during April and June 2015 is mainly due to the increase in the hourly labour cost in industry and services, with 7.9% and respectively 7.6%.	Avansul costurilor cu forta de munca în Romania în perioada aprilie - iunie 2015 se datoreaza în principal cresterii costului orar al fortei de munca în industrie și servicii, cu 7,9% și, respectiv, 7,6%.
In the construction sector, Romania registered an increase of 5.8% of the hourly cost of labour.	În sectorul constructiilor, Romania a inregistrat un avans de 5,8% al costului orar al fortei de munca.
Activity report of the TVR (Romanian National Television Network) leadership, rejected by the committees: Stelian Tanase risks to be dismissed	Raportul de activitate al conducerii TVR, respins în comisii: Stelian Tanase risca demiterea
On Wednesday, the Parliament Committees on Culture rejected the report of the Board of Directors of the Romanian Television for 2014.	Comisiile de cultura ale Parlamentului au respins miercuri raportul de activitate al Consiliului de Administratie al Societatii Romane de Televiziune pe anul 2014.
17 parliamentarians voted for the rejection of the report, one was against the rejection (senator Varujan Vosganian) and one abstained.	Pentru respingerea raportului au votat 17 parlamentari, unul impotriva respingerii (senatorul Varujan Vosganian) și unul s-a abtinut.
The text of the report will be submitted to the joint Standing Bureaus.	Textul raportului va fi inaintat catre Birourile permanente reunite.
The decision will be taken next week, probably.	Acestea vor decide, probabil saptamana viitoare.
This will be discussed at the next plenary meeting.	La urmatorul plen reunit va fi dezbatut.
"Considering the situation, I think the decision will be taken relatively quickly", said the president of the Senate Committee on Culture, Georgica Severin.	"Cred ca avand în vedere aceasta situatie va fi facuta relativ repede", a spus presedintele Comisiei de cultura de la Senat, Georgica Severin.
