Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
Minniti's warning came a day after Italian authorities impounded a boat operated by German aid organisatiion Jugend Rettet on suspicion its crew effectively collaborated with people traffickers in a way that facilitated illegal immigration.	Minnitiho varování přišlo den poté, co italské autority zabavili loď německé záchranné organizace Jugend Rettet kvůli podezření na obchodování s lidmi, což výrazně ulehčuje ilegální imigraci.
The aid organisation, which has only been operational for a year, declined to comment on the substance of detailed allegations made against it by Italian prosecutor Ambrogio Cartosio.	Záchranná organizace, která funguje prvním rokem, odmítla celou věc komentovat z důvodu obvinění ze strany italského státního žalobce Ambrogia Cartosiose.
"For us the rescue of human life is and will be our top priority, so we are very sorry we will not be able to operate in the search and rescue zone at the moment," the organisation said in a statement on social media.	„Pro nás je a vždy bude prioritou číslo jedna záchrana lidských životů. Velmi nás tedy mrzí, že nemůžeme v současné době operovat v záchranných zónách,“ uvedla organizace v prohlášení na sociálních sítích.
"We can only assess all the accusations currently being made after we have gathered all the information and can assess the situation."	„Všechny momentální obvinění můžeme komentovat pouze po shromáždění všech informací a zhodnocení celé situace.“
Italian authorities had been monitoring Jugend Rettet's boat, the Iuventa, since October.	Italské autority sledovaly loď Iuventa organizace Jugend Rettet od října.
Its crew is suspected to taking on board dinghy loads of migrants delivered directly to them by people traffickers and allowing the smugglers to make off with the vessels to be used again.	Její posádka je podezřelá z toho, že na lodi převážela imigranty, které jim předali přímo obchodníci s lidmi, a to opakovaně.
At least one such meeting allegedly took place only 1.3 miles off the Libyan coast, according to the prosecutor's file, the contents of which were published by Italian media.	Minimálně k jedné schůzce došlo podle spisu žalobce údajně pouze 1,3 míle od pobřeží Libye. Průběh schůzky zveřejnila italská média.
The crew are suspected of having flouted the authority of the Italian coastguard, which oversees rescue operations in the zone, out of humanitarian zeal rather than for any other motives.	Posádka lodi je podezřelá z toho, že porušila zákon a obcházela italskou pobřežní stráž, která dohlíží na záchranné operace v této oblasti - z humanitárního nadšení, spíše než cokoliv jiného.
Under the code of conduct, boats like the Iuventa would notably have to have an Italian police officer on board monitoring their activities.	Kodex chování ustanovuje přítomnost italského policejního důstojníka na palubě lodí, jako je Iuventa k monitorování aktivit.
Only three of the nine NGOs involved in search and rescue operations have so far agreed to abide by the code: Save The Children, Malta-based MOAS and Spain's Pro-Activa Open Arms.	Pouze tři z devíti nevládních neziskových organizací, které se podílejí na záchranných operacích, dosud souhlasily s dodržováním kodexu: Save The Children, maltská MOAS a španělská Pro-Activa Open Arms.
The latter said on Thursday it regarded the new rules as unnecessary but acceptable as they would not involve any "significant change or impediment" to its rescue operations.	Posledně jmenovaná organizace ve čtvrtek uvedla, že nová pravidla nejsou nezbytná, ale přijatelná, jelikož nepředstavují žádnou „podstatnou změnu nebo překážku“ co se záchranných operací týče.
Among those who have refused to sign is the Nobel Prize-winning organisation Doctors Without Borders (MSF).	Přijetí nového kodexu chování odmítla například i organizace Lékaři bez hranic (MSF), která je držitelem Nobelovy ceny.
Minniti meanwhile said a sharp fall over recent weeks in the number of migrants arriving in Italy following rescues was an indication that efforts to beef up the Libyan coastguard and cooperation with local mayors was bearing fruit.	Minniti se mezitím nechal slyšet, že prudký pokles imigrantů v posledních týdnech, kteří se vyloďují v Itálii v rámci záchranných operací, naznačuje, že snaha posílit hlídky u pobřeží Libye a spolupráce s místními starosty nese ovoce.
"In recent days we have begun to see light at the end of the tunnel," the minister said.	„V posledních dnech začínáme spatřovat světlo na konci tunelu,“ uvedl ministr.
He revealed plans for further talks this month with Libyan mayors on economic development initiatives and with Chad, Niger and Mali on measures to reduce the number of migrants leaving those countries in the hope of reaching Europe.	Odhalil také plány pro další jednání, která se uskuteční tento měsíc se starosty Libye na téma ekonomické rozvojové iniciativy, stejně jako se zástupci Čadu, Nigeru a Mali ohledně opatření ke snížení počtu migrantů, jež opouští tyto země v naději o dosažení Evropy.
Brazen Mesarošová: Silicone and cellulite seeping out of her overalls!	Nestydatá Mesarošová: Z overalu jí lezl silikon i celulitida!
During hot summer days, it's tempting just to wear the bare essentials that cover the most intimate places.	Horké letní dny úplně lákají k tomu, vzít si na sebe jen to nejnutnější, co zakryje ty nejintimnější partie.
Dominika Mesarošová did the opposite, however.	Jen Dominika Mesarošová to dělá naopak.
At an afternoon encounter at Prague Zoo, swarming with actors, moderators, singers and everyone involved with TV Prima, she covered her body in a mini overall.	Na odpolední setkání v pražské zoo, kde se to herci, moderátory, zpěváky a všemi, co mají co dočinění s TV Prima, jen hemžilo, své tělíčko zahalila do mini overalu.
All it took was a few normal moves for the model to show everyone her silicon and even her behind.	A stačilo jen pár běžných pohybů a modelka všem ukázala své silikony, ale také zadeček.
Her overalls cut into her thighs several times, plus she was so tall that she had to keep adjusting them.	Overal se jí totiž kolikrát zařízl mezi půlky, navíc se jí vykasal tak vysoko, že si ho musela pořád upravovat.
She was certainly not lacking the attention of the gentlemen and photographers present.	O pozornost pánů a přítomných fotografů tak rozhodně neměla nouzi.
Michelle Carter sentenced for texts urging suicide of Conrad Roy	Michelle Carterová odsouzena za zasílání textových zpráv pobízejících k sebevraždě Conrada Roye
A Massachusetts woman has been sentenced to two and a half years for encouraging her boyfriend to commit suicide through texts and phone calls.	Žena z Massachusets byla odsouzena k odnětí svobody ve výší dvou let za podněcování svého přítele ke spáchání sebevraždy prostřednictvím textových zpráv a telefonických hovorů.
Michelle Carter, now 20, will serve 15 months of her term behind bars and five years of probation.	Dvacetiletá Michelle Carterová si odsedí 15 měsíců z dvouletého trestu za mřížemi a poté stráví pět let v podmínečném propuštění.
Carter was convicted in June of the involuntary manslaughter of Conrad Roy, who took his own life on 13 July 2014.	Carterová byla odsouzena v červnu za neúmyslné zabití Conrada Roye, který si vzal vlastní život 13. července 2014.
Mr Roy's father told Thursday's hearing: "My family is heartbroken.	Royův otec ve čtvrtek u soudu vypověděl: „Celá rodina je zdrcena.
My son was my best friend."	Můj syn byl můj nejlepší přítel.“
Carter was allowed to remain free pending an appeal.	Carterová byla ponechána na svobodě až do rozhodnutí.
She had faced a maximum sentence of 20 years, but her legal team argued that both she and Mr Roy suffered from mental illness.	Hrozilo jí až 20 let odnětí svobody, její právníci však argumentovali tím, že ona a Roy trpěli duševní chorobou.
Dressed in red trousers and a cream blouse, Carter stood tearfully with hands clasped and eyes cast down as she was sentenced.	Oblečená v červených kalhotách a krémové blůze, Carterová stála při vyhlašování rozsudku na místě se slzami v očích, sepjatýma rukama a očima směřujícíma k zemi.
"Her actions killed Conrad Roy," the prosecutor told the court.	„Její konání zabilo Conrada Roye,“ řekla žalobkyně soudci.
"She ended his life to better her own.	„Ukončila jeho život, aby si sama ulevila.
She has not accepted responsibility," she said.	Nedokázala přijmout vlastní zodpovědnost,“ uvedla.
