This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
Maybe that's what teh Guardian could do, get Suzanne to do a Polly Toynbee and to interview Russell on a veranda complete with nodding responses edited in!	Peut-être que c'est ce que le Guardian pourrait faire, que Suzanne fasse comme Polly Toynbee et interview Russell sur une véranda, avec même les hochements de tête rajoutés au montage !
Like Max Keiser, who started out baiting Russel but ended up a fan, inviting him on his show, it's all too easy to attack him without really getting where he's coming from.	Comme Max Keiser, qui au début attaquait Russel mais a fini par devenir un de ses fans et par l'inviter dans son émission, c'est trop facile de l'attaquer sans vraiment comprendre où il veut en venir.
He taps into a political narrative that exists through the generations, but which has been marginalised by mainstream media - including the Guardian - for generations.	Il puise dans un discours politique qui existe depuis des générations, mais qui a été marginalisé par les médias traditionnels - y compris le Guardian - depuis des générations.
This "rebellion" reveals above all to my mind that intellectual debate has not been held for a long time at the History Meetings, where professional historians have become the minority and where exchanges among specialists have become poorer to the benefit of condensed ready-made thinking typical of Political Sciences for press releases.	Cette « fronde » révèle surtout à mes yeux que le débat intellectuel ne se tient plus depuis longtemps aux RDV de l’Histoire où les historiens de métier sont devenus minoritaires et où les échanges de spécialistes se sont appauvris au bénéfice de prêt-à-penser condensés type Sciences Po pour dossiers de presse.
For my part, I saw in Pierre Bourdieu's intellectual attitude, as well as in Michel Foucault's, a need to target a culprit, a scapegoat.	Pour ma part j'avais vu dans l'attitude intellectuelle de Pierre Bourdieu aussi bien que celle de Michel Foucault, un besoin de s'en prendre à un coupable, un bouc émissaire.
They both develop very rational lines of argument, but this rationality is based on these scapegoats, which are the keystone of their thoughts.	Ils développent l'un et l'autre des raisonnements très rationnels, mais cette rationalité repose sur ces boucs émissaires qui sont la clef de voûte de leur pensée.
I believe rather that for Foucault the State was essential as the culprit.	Je crois plutôt que pour Foucault l'État était indispensable en tant que coupable.
This stems from a very archaic way of thinking, sacrificial thinking, which is also magic thinking.	Cela relève d'une pensée très archaïque, la pensée sacrificielle, qui est aussi la pensée magique.
The problem with the relationship with the other is solved by eliminating it.	On résout le problème du rapport à l'autre en l'éliminant.
There is an anarchizing, neo-lib and/or libertarian inclination (of the two terms the second marks a reinforcement of the desire to eliminate the State, the first knowing how to find help from the State for its deals) meaning less State / no State at all in Foucault.	Il y a une pente anarchisante, néo-lib et / ou /libertaire ( des deux termes le second marque un durcissement du désir d'éradication de l'Etat , le premier sachant aller chercher le secours de l'Etat pour ses marchés ) au sens du moins d'Etat / pas du tout d'Etat chez Foucault .
The old dream of the base which organizes itself beautifully.	Le vieux rêve de la base qui s'auto-organise bellement .
His thinking is built on the culpability of the State: without this culpability it does not hold up.	Sa pensée est construite sur la culpabilité de l'État : sans cette culpabilité elle ne tient pas debout.
Where there is a culprit, there is also elimination, murder, sacrifice.	Qui dit coupable, dit élimination, meurtre, sacrifice.
This is not taking a stand against the three intellectuals quoted here.	Ceci n'est pas une prise de position contre les trois intellectuels cités ici .
Nor support for that matter.	Ni un soutien d'ailleurs .
The totalitarian left remembers the good old days, those of God back then, Stalin, the little father of the people.	La gauche totalitaire se souvient du bon vieux temps , celui de son dieu d'alors, Staline, le petit père des peuples.
Ooh la la, you undoubtedly read a little too fast if you took Foucault's texts on the Iranian revolution for an apologia for Khomeini.	Oulala, vous avez sans doute lu un chouya trop vite si vous avez pris les textes de Foucault sur la révolution iranienne pour une apologie de Khomeiny.
Today, even Pierre Manent would not enjoy attacking Michel any more in this way.	Aujourd'hui, même Pierre Manent ne s'amuserait plus à attaquer Michel par ce biais...
Gauchet presents a deep reflection about the contemporary individual and the group, on the difficulty posed by the mechanism for support in our liberal advanced societies.	Gauchet pose une réflexion profonde sur l'individu contemporain et le collectif, sur la difficulté que représente le mécanisme d'adhésion dans nos sociétés libérales avancées.
Whether one agrees with him or not, he is an original and respectable thinker.	Qu'on soit d'accord ou pas avec lui, c'est un penseur original et respectable.
Seeing this plot orchestrated by researchers of human sciences from the hard left who cannot bear that we do very well without allegiance to their mantras is quite laughable.	Voir cette cabale orchestrée par des chercheurs en sciences humaines de la gauche dure qui ne supportent pas qu'on se passe de l'allégeance à leurs mantras, est assez risible.
The narcissism and authoritarianism of these people has no limits.	Le narcisissme et l'autoritarisme de ces gens est sans limite.
An important point to add seems to me to be the position of these "rebels", which is only intellectual and theoretical.	Un point important à ajouter me semble être la posture de ces "rebelles", qui n'est qu'intellectuelle et théorique.
The attitudes I've witnessed in Russia towards the Chinese and other "yellows" are absolutely jaw dropping.	Le traitement des Chinois et autres « jaunes » dont j'ai été témoin en Russie est absolument incroyable.
You haven't had the pleasure of hearing our Australian friends on that topic, then.	Vous n'avez pas eu le plaisir d'entendre nos amis australiens sur ce sujet, alors.
And where in Russia was that, that a Russian can meet a Chinese and have a personal opinion?	Et où était-ce en Russie, qu'un Russe puisse rencontrer un Chinois et avoir une opinion personnelle ?
I forgot when I saw a Chinese last.	Je ne me souviens pas de quand j'ai vu un Chinois pour la dernière fois.
In London, and they were friendly to me, when learned I am Russian.	À Londres et ils ont été sympathiques à mon égard quand ils ont appris que j'étais Russe.
In Russia here - in 1990-s the last time, in a market.	En Russie ici - dans les années 1990 la dernière fois, dans un marché.
The views of Chinese towards white people is similar!	Les Chinois pensent pareil des Blancs !
My family has lived in Australia since coming over from Hong Kong and Guangzhou way back in the mid-20th century and I still hear very extreme anti-white opinions from some of them.	Ma famille vit en Australie après être venue de Hong Kong et de Guangzhou il y longtemps, au milieu du 20e siècle, et j'entends encore certains d'entre eux tenir des propos violemment anti-Blancs.
My dad is not happy that his eldest grand-daughter is dating a white boy.	Mon père n'est pas content que sa fille aînée sorte avec un Blanc.
Also I believe that attitudes in Russia have changed since the 1990s and especially in the last few years: they are becoming more prosperous, the prosperity is spreading outside major cities, and with that prosperity people are travelling overseas and seeing how others live.	Je crois aussi que les attitudes ont changé en Russie depuis les années 1990 et surtout au cours des dernières années : ils sont de plus en plus riches, la prospérité se propage en dehors des grandes villes, et grâce à cette prospérité les gens voyagent à l'étranger et voient comment vivent les autres.
