Four members of the Kemerovo group arrested in Estonia and Spain	Eestis ja Hispaanias peeti kinni neli Kemerovo grupeeringu liiget
Since Guzman's arrest last year and extradition to the United States in January, Sinaloa has been one of the country's bloodiest battlegrounds as rival factions fight to fill the vacuum.	Alates Guzmani vahistamisest eelmisel aastal ja Ameerika Ühendriikidele väljaandmisest jaanuaris on Sinaloa olnud riigi üks kõige verisemaid lahinguvälju, sest rivaalitsevad klikid võitlevad võimuvaakumi täitmise pärast.
Never mind that someone or several people are shot dead in the street every day in Sinaloa, or that the cemetery is filled with ornate, two-story mausoleums for drug kings, larger than many homes for the living.	Pole vahet, et Sinaloa tänavatel lastakse iga päev mõni inimene või lausa mitu maha või et surnuaed kubiseb külluslikult kaunistatud kahekordsetest narkokuningate mausoleumidest, mis on suuremad kui paljude elavate kodud.
Forget for a minute that a state of "calm" is when just one cartel is in control of the coastal state with its valuable ports and drug-trafficking routes to the United States.	Unustagem hetkeks, et rahuaeg viitab sellele, kui väärtuslike sadamate ja Ameerika Ühendriikidesse viivate uimastimarsruutidega mereäärset osariiki juhib ainult üks kartell.
Despite that, and the fact that Valdez was intimately aware of the perils of his work, Ismail Bojorquez, 60, a co-founder and director of Riodoce, is wracked with guilt for failing to protect his friend.	Vaatamata kõigele sellele ja asjaolule, et Valdez oli oma tööga kaasnevatest ohtudest läbinisti teadlik, tunneb Riodoce kaasasutaja ja juhataja Ismail Bojorquez (60) tohutuid süümepiinu, et ta ei suutnud oma sõpra kaitsta.
He believes two errors contributed to the killing.	Ta usub, et tapmist soodustasid kaks viga.
First there was the publication in February of an interview with Damaso Lopez, a leader of one of the rival cartel factions at war with Guzman's sons.	Esimene neist oli Guzmani poegadega konkureeriva ja sõjajalal oleva kartelli kliki ninamehe Damaso Lopeziga tehtud intervjuu avaldamine veebruaris.
The piece may have angered the sons; suspected gang members bought up every copy of the edition as soon as they were delivered to newsstands.	See kirjatükk võis poegi vihastada  kahtlustatavad jõuguliikmed ostsid kõik väljaande koopiad ära kohe, kui need ajalehekioskitesse jõudsid.
The second mistake was not forcing Valdez to leave the country for his own safety after the seizure of another newspaper that carried the same story.	Teine viga oli see, et Valdezi ei sunnitud tema enda turvalisuse nimel riigist lahkuma pärast seda, kui toimus haarang ühes teises sama lugu kajastanud ajalehetoimetuses.
Valdez was a legend in Mexico and abroad, and his killing is seen as a milestone in Mexican violence against journalists.	Valdez oli legend nii Mehhikos kui ka välismaal ning tema tapmist nähakse kui pöördepunkti ajakirjanike vastu suunatud vägivallas Mehhikos.
He'd survived for so long, his friends and colleagues assumed he'd always be there.	Ta oli nii kaua elus püsinud, et tema sõbrad ja kolleegid eeldasid, et ta on alatiseks olemas.
He was a veteran reporter for Noroeste in 2003 when he joined five colleagues in creating Riodoce, selling $50 shares.	Ta töötas 2003. aastal ajalehe Noroeste juures veteranreporterina, kui ta liitus viie kolleegiga, et luua Riodoce, müües 50-dollarilisi osakuid.
In Sinaloa, "it was impossible to do journalism without touching the narco issue," said Bojorquez.	Bojorquez ütles, et Sinaloas "oli võimatu ajakirjandusega ilma narkoprobleemi puutumata tegeleda".
Over time the paper earned a reputation for brave and honest coverage, and sales and advertising increased.	Ajaleht kogus ajapikku oma julgete ja ausate kajastustega tuntust ning müük ja reklaam kasvasid.
Reporters loved being able to publish hard-hitting investigations without fear of censorship, and readers were fascinated by a publication where they could read stories nobody else dared to cover.	Reporteritele meeldis avaldada jõulisi uurimusi ilma tsensuuri kartmata ja lugejaid lummas trükis, millest nad said lugeda lugusid, mida keegi teine ei julgenud kajastada.
Eight years after Riodoce was founded, it won the prestigious Maria Moors Cabot award for coverage in Latin America.	Kaheksa aastat pärast Riodoce asutamist võitis ajaleht oma Ladina-Ameerika kajastuste eest prestiižse Maria Moors Caboti auhinna.
That same year, Valdez won the International Press Freedom Award of the Committee to Protect Journalists for his courage in pursuing the Mexican drug story wherever it led.	Samal aastal võitis Valdez Ajakirjanike Kaitse Komitee (AKK) rahvusvahelise ajakirjandusvabaduse auhinna oma julguse eest järgneda Mehhiko narkoloole kõikjale, kuhu see viib.
He freely acknowledged that he was frightened.	Ta tunnistas avameelselt, et kartis.
"I want to carry on living," he said at the time of the CPJ award.	"Tahan edasi elada," ütles ta AKK auhinda vastu võttes.
Drug trafficking in Sinaloa "is a way of life," he said last October, in an interview with Rompeviento TV.	Eelmisel oktoobril ütles ta telekanalile Rompeviento TV antud intervjuus, et uimastikaubandus on Sinaloas eluviis.
"You have to assume the task that falls to you as a journalist - either that or you play dumb.	"Pead võtma omaks ülesande, mis ajakirjanikuametiga kaasneb  teine võimalus on lolli mängida.
I don't want to be asked, 'What were you doing in the face of so much death ... why didn't you say what was going on?'"	Ma ei taha, et minult küsitaks, et mida ma nii paljude surmadega silmitsi seistes tegin või miks ma ei rääkinud, mis toimub."
The Riodoce staff misses Valdez, the jokester who swore like a longshoreman, the friend generous with hugs and advice, a teacher who knew how to survive.	Riodoce kollektiiv igatseb Valdezi, naljameest, kes ropendas nagu madrus, sõpra, kes jagas lahkelt embusi ja nõuandeid, õpetajat, kes teadis, kuidas ellu jääda.
They relied on his routine.	Nad toetusid tema rutiinile.
He would always wear his hat.	Ta kandis alati oma kübarat.
He would go to El Guayabo, the bar across from the office, and would always sit at the same table.	Ta läks kontorist üle tee asuvasse El Guayabo baari ja istus alati samas lauas.
Now, they ask: Was his love of routine his downfall?	Nüüd nad küsivad, kas tema rutiiniarmastus sai talle saatuslikuks.
His death also has forced them to question their own assumptions about how best to do their jobs and stay alive.	Ta surm on pannud ka neid ennast kahtlema, kuidas oma tööd kõige paremini teha ja elus püsida.
"They don't like it if you mess with their women, their children, their clean businesses, their clandestine airstrips" used to move drugs.	"Neile ei meeldi, kui jändad nende naiste, nende laste, nende seaduslike äride, nende salajaste maandumisplatsidega, mida kasutatakse narkootikumide transportimiseks."
"Those things were off-limits," said Bojorquez.	"Neid asju ei tohtinud puutuda," ütles Bojorquez.
The result is, even in the best of times, a high-level of self-censorship and self-preservation.	Tulemuseks on isegi parimatel aegadel tugev enesetsensuur ja enesealalhoid.
Trusting one's instincts.	Oma instinktide usaldamine.
If it smells wrong, stay away.	Kui asi lõhnab kahtlaselt, hoia eemale.
The trouble, said Riodoce editor Andres Villarreal, is that "smell is a sense that can be fooled ... and then the thing with Javier happened."	Riodoce toimetaja Andres Villarreali sõnul on probleem selles, et "lõhnataju saab petta... ja nii juhtuski see asi Javieriga".
The old rules, he and others say, no longer apply in Sinaloa - just as they don't in Tamaulipas, Veracruz, Guerrero and other states that are home to a toxic mix of lucrative smuggling routes, weak institutions and corrupt government officials.	Tema ja teised ütlevad, et Sinaloas ei kehti enam vanad reeglid, täpselt nagu need ei kehti Tamaulipasis, Veracruzis, Guerreros ega muudes osariikides, mis on koduks tulusate smugeldamismarsruutide, nõrkade institutsioonide ja korrumpeerunud riigiametnike mürgisele kooslusele.
The landscape constantly shifts.	Maastik muutub pidevalt.
In the room where Riodoce staff met for security training, suddenly no cellphones were allowed; days before, it was revealed that spyware sold exclusively to governments had been used to monitor journalists and activists in Mexico.	Ruumis, kus Riodoce töötajad turvakoolituse jaoks kokku said, ei olnud järsku enam mobiiltelefonid lubatud; mõned päevad enne seda paljastati, et ainult valitsustele müüdavat nuhkvara oli kasutatud Mehhikos ajakirjanike ja aktivistide jälgimiseks.
Outside, two police officers sought relief from the 104-degree (40 Celsius) heat in the shade of a tree.	Maja ees otsisid kaks politseinikku puu varjus leevendust 40-kraadisest kuumusest.
They were assigned by the state government to guard Riodoce's offices, housed in a four-story building in a middle-class neighborhood of Culiacan.	Valitsus määras nad valvama Riodoce kontorit, mis asub neljakorruselises hoones Culiacani keskklassi naabruskonnas.
Half-jokingly, some of the reporters wondered whether these officers are among the 50 percent of cops whom the governor himself has said are not trustworthy.	Mõned reporterid mõtisklesid poolnaljatades, kas need politseinikud kuuluvad nende 50 protsendi politseinike hulka, kelle kuberner ise on ebausaldusväärseks tembeldanud.
It has been months since the reporters have gone into the mountainous countryside, where the drug gangs are in de facto control.	Mitu kuud on möödunud ajast, mil reporterid on sõitnud mägistesse maakohtadesse, kus kontroll on de facto narkojõukude käes.
For this week's edition Riodoce was looking at three main stories.	Riodoce selle nädala väljaanne käsitles kolme põhilugu.
There was the killing of former boxing great Julio Cesar Chavez's brother in Sinaloa.	Üks neist oli endise poksilegendi Julio Cesar Chavezi venna mõrv Sinaloas.
They also had an expose on government spending concentrated in the governor's hometown.	Lisaks oli neil paljastav lugu valitsuse rahade kulutamisest kuberneri kodulinnale.
And there was a group kidnapping in one of Culiacan's most expensive restaurants, a block from the prosecutor's office.	Ja prokuröri kabinetist kvartali kaugusel asuvast Culiacani ühest kõige kallimast restoranist rööviti grupp inimesi.
There was no official word on who was abducted or how it happened, so caution set in when it came time to write what everyone in the city knows: that the restaurant is a favorite of both drug traffickers and authorities.	Polnud mingit ametlikku teadaannet selle kohta, kes rööviti või kuidas see juhtus, seega tuli olla ettevaatlik, kui oli aeg kirjutada seda, mida kõik linnas teavad  restoran on nii uimastikauplejate kui ka ametivõimude meelispaik.
A reporter learned from public records that the restaurant was registered under the name of a politician belonging to the ruling Institutional Revolution Party, or PRI, which dominated all levels of politics for nearly all of the last century.	Reporter sai avalikest dokumentidest teada, et restoran on registreeritud poliitiku nimele, kes kuulub võimul olevasse Institutsioonilisse Revolutsiooniparteisse (IRP), mis domineeris kõiki poliitika tasandeid peaaegu kogu eelmise sajandi vältel.
